RootType,OuterType,OuterName,X,Y,Z,DisplayName,SpawnChance,ChanceType,Health,Keyed,LootSource,AISpawner,Visible,HarvestableBy,NodeTag
SceneComponent,AGV_SoundScatter_C,AGV_SoundScatter_C_UAID_107C614ADD424AC502_2c2cf887d3b34203_1576020558,794.0,3197.0,9540.0,,,,,,,,,,
SceneComponent,AGV_SoundScatter_C,AGV_SoundScatter_C_UAID_107C614ADD424CC502_2c2cf887d3b34203_1390563922,4033.0,4014.0,12029.0,,,,,,,,,,
SceneComponent,AGV_SoundScatter_C,AGV_SoundScatter_C_UAID_107C614ADD424CC502_2c2cf887d3b34203_1434453923,1044.0,5327.0,12029.0,,,,,,,,,,
SceneComponent,BP_3P_Door_02a_C,BP_3P_Door_02a_C_UAID_D843AE641AE3BA4402_99c5de060d023245_1798703670,-2562.2715,-2893.5532,11027.105,,,,,,,,,,
SceneComponent,BP_A01_Bear_Chateau_C,BP_Bear_Chateau_C_UAID_D843AE641AE3BA4402_c11e2be935ce527e_1716508694,3956.971,4198.764,10851.81,Bear,,,,,,,,,
SceneComponent,BP_A01_Castiel_Chateau_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_1bd283b4387b8246_1734867266,1779.7677,4110.0776,10828.173,Castiel,,,,,,,,,
SceneComponent,BP_A01_Eloise_Chateau_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_809515a4cbf4253c_1734862265,3224.6077,5188.1553,10841.041,Eloise,,,,,,,,,
SceneComponent,BP_A01_Hector_Chateau_C,BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_0721e9471fe0b78d_1707567249,-2750.5115,185.69331,11034.051,Hector,,,,,,,,,
SceneComponent,BP_A01_Louis_Chateau_C,BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_a313fa97746a8c2b_1707567249,3670.2764,4220.7974,10838.079,Louis,,,,,,,,,
SceneComponent,BP_A01_Metallurgist_Hub_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_8949ff6bc4471953_1734862265,4369.731,5907.7686,10837.925,Jean Fondeur,,,,,,,,,
SceneComponent,BP_A01_MrSweet_Chateau_C,StaticMeshActor_UAID_04D9F5F93AD5083C02_36706b8488e932c6_1734862265,3159.7676,3405.9583,10841.845,Mr Sweet,,,,,,,,,
SceneComponent,BP_A01_Naturalist_Hub_C,BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_65eb9157b3aa2472_1707567249,2303.0872,5830.8506,10837.658,Henriette,,,,,,,,,
SceneComponent,BP_A01_Outfitter_Hub_C,BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_e6d66b10ea19d51f_1707567249,6015.9126,3096.1335,11127.6045,Octave de Villiers,,,,,,,,,
SceneComponent,BP_A01_Piro_Chateau_C,BP_A01_Piro_Chateau_C_UAID_D843AE641AE3BA4402_c11e2be935ce527e_1716502693,1537.3907,5202.7705,10836.62,Piro,,,,,,,,,
SceneComponent,BP_A01_Reynauld_Chateau_C,BP_Reynauld_01_C_UAID_D843AE641AE3BA4402_c11e2be935ce527e_1716520696,5287.022,3413.3005,11347.975,Reynauld,,,,,,,,,
SceneComponent,BP_A01_Scavenger_Hub_C,BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_e484c652ea6996c5_1707567249,3253.8215,6215.693,10839.369,Filthy François,,,,,,,,,
SceneComponent,BP_A02_Artificer_Hub_C,BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_d00a942ad1e03667_1707567249,1047.1516,594.47266,11129.353,Heinrich Voss,,,,,,,,,
