Type,ObjectName,StaticMeshName,X,Y,Z,SpawnChance
SceneComponent,BP_A01_Bear_Chateau_C'Chateau_p_WP:PersistentLevel.BP_Bear_Chateau_C_UAID_D843AE641AE3BA4402_c11e2be935ce527e_1716508694',,3956.971,4198.764,10851.81,
SceneComponent,BP_A01_Castiel_Chateau_C'Chateau_p_WP:PersistentLevel.StaticMeshActor_UAID_04D9F5F93AD5083C02_1bd283b4387b8246_1734867266',,1779.7677,4110.0776,10828.173,
SceneComponent,BP_A01_Eloise_Chateau_C'Chateau_p_WP:PersistentLevel.StaticMeshActor_UAID_04D9F5F93AD5083C02_809515a4cbf4253c_1734862265',,3224.6077,5188.1553,10841.041,
SceneComponent,BP_A01_Hector_Chateau_C'Chateau_p_WP:PersistentLevel.BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_0721e9471fe0b78d_1707567249',,-2750.5115,185.69331,11034.051,
SceneComponent,BP_A01_Louis_Chateau_C'Chateau_p_WP:PersistentLevel.BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_a313fa97746a8c2b_1707567249',,3670.2764,4220.7974,10838.079,
SceneComponent,BP_A01_Metallurgist_Hub_C'Chateau_p_WP:PersistentLevel.StaticMeshActor_UAID_04D9F5F93AD5083C02_8949ff6bc4471953_1734862265',,4369.731,5907.7686,10837.925,
SceneComponent,BP_A01_MrSweet_Chateau_C'Chateau_p_WP:PersistentLevel.StaticMeshActor_UAID_04D9F5F93AD5083C02_36706b8488e932c6_1734862265',,3159.7676,3405.9583,10841.845,
SceneComponent,BP_A01_Naturalist_Hub_C'Chateau_p_WP:PersistentLevel.BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_65eb9157b3aa2472_1707567249',,2303.0872,5830.8506,10837.658,
SceneComponent,BP_A01_Outfitter_Hub_C'Chateau_p_WP:PersistentLevel.BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_e6d66b10ea19d51f_1707567249',,6015.9126,3096.1335,11127.6045,
SceneComponent,BP_A01_Piro_Chateau_C'Chateau_p_WP:PersistentLevel.BP_A01_Piro_Chateau_C_UAID_D843AE641AE3BA4402_c11e2be935ce527e_1716502693',,1537.3907,5202.7705,10836.62,
SceneComponent,BP_A01_Reynauld_Chateau_C'Chateau_p_WP:PersistentLevel.BP_Reynauld_01_C_UAID_D843AE641AE3BA4402_c11e2be935ce527e_1716520696',,5287.022,3413.3005,11347.975,
SceneComponent,BP_A01_Scavenger_Hub_C'Chateau_p_WP:PersistentLevel.BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_e484c652ea6996c5_1707567249',,3253.8215,6215.693,10839.369,
SceneComponent,BP_A02_Artificer_Hub_C'Chateau_p_WP:PersistentLevel.BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_d00a942ad1e03667_1707567249',,1047.1516,594.47266,11129.353,
SceneComponent,BP_A02_Claude_Hub_C'Chateau_p_WP:PersistentLevel.StaticMeshActor_UAID_04D9F5F93AD5083C02_a4ddd8690be110d9_1734862265',,-1620.7225,-1905.0353,11033.484,
SceneComponent,BP_A02_Crone_Chateau_C'Chateau_p_WP:PersistentLevel.BP_A02_Crone_Chateau_C_UAID_D843AE641AE3BA4402_99c5de060d023245_1798271517',,-2742.2974,3006.2756,11042.425,
SceneComponent,BP_A02_Grillard_Hub_C'Chateau_p_WP:PersistentLevel.BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_991472f297ac9969_1707567249',,-3549.28,2028.4365,11031.523,
SceneComponent,BP_A02_Gunsmith_Hub_C'Chateau_p_WP:PersistentLevel.BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_9c672f9fc956eaed_1707567249',,843.53534,-519.49304,11027.668,
SceneComponent,BP_A02_Henri_Hub_C'Chateau_p_WP:PersistentLevel.BP_A02_Henri_Hub_C_UAID_50EBF6D29969685002_1c59a412a6a1f787_1518393615',,-2865.0903,-1054.2754,11026.627,
SceneComponent,BP_A02_Outfitter_Hub_C'Chateau_p_WP:PersistentLevel.BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_c638ef1768bb09f7_1707567249',,-167.8731,-1338.7239,11137.957,
SceneComponent,BP_A02_Physician_Hub_C'Chateau_p_WP:PersistentLevel.BP_A02_Outfitter_Hub_C_UAID_04D9F5F93AD5175402_7e2a92f11e921248_1707567249',,-2424.7874,2664.3506,11044.776,
SceneComponent,BP_A02_Savant_Hub_C'Chateau_p_WP:PersistentLevel.StaticMeshActor_UAID_04D9F5F93AD5083C02_bf8eb92afda46b19_1734862265',,418.09604,1326.6371,11130.643,
